ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Total_Children,Total_Spending,Customer_Since,Age_Group,AcceptedAny,Cluster,PCA1,PCA2,Segment
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,68,0,1617,4986,60-69,1,0,1.1041008156110093,1.317840550976186,Premium Customers
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,71,2,27,4436,70+,0,1,-1.3025281316670712,-0.6360250906083817,Budget Shoppers
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,60,0,776,4635,50-59,0,3,2.000912575557554,0.06706189603713532,Dormant Customers
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,41,1,53,4462,40-49,0,1,-1.886763254981482,-0.5296083208539454,Budget Shoppers
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,44,1,422,4484,40-49,0,0,0.0011087228987219084,0.8942488246065449,Premium Customers
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,58,1,716,4616,50-59,0,3,1.1125311337632353,0.5021555035176412,Dormant Customers
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,54,1,590,4916,50-59,0,0,0.4445937739537976,1.2763602719013565,Premium Customers
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,40,1,169,4740,30-39,0,1,-1.6860465598955785,0.15403846385940026,Budget Shoppers
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,51,1,46,4711,50-59,1,1,-2.270745669888381,-0.11225198009347705,Budget Shoppers
5899,1950,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,75,2,49,4431,70+,1,2,-4.7923034052995375,1.9729195091862375,Digital Buyers
387,1976,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,49,0,61,4916,40-49,0,2,-2.6689347369961025,-0.40409273537604,Digital Buyers
2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,66,0,1102,4549,60-69,0,3,1.5372854471938333,-1.170053671851549,Dormant Customers
8180,1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,73,2,310,4549,70+,0,0,0.16247410489231123,0.8815898498487905,Premium Customers
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,38,0,46,4950,30-39,0,1,-2.706476400318687,-0.751849780352952,Budget Shoppers
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,79,0,1315,4905,70+,1,3,3.2650958088920525,0.009745596067660062,Dormant Customers
9736,1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,45,2,96,4875,40-49,0,1,-1.7639095376018012,0.3497452460635334,Budget Shoppers
4939,1946,Graduation,Together,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,79,0,317,4990,70+,0,1,-0.5435220082567372,0.5754821521578374,Budget Shoppers
6565,1949,Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,76,1,1782,4781,70+,1,3,3.2384436297700767,1.2815684995307173,Dormant Customers
2278,1985,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,40,1,133,4926,30-39,0,2,-1.7780110032018057,-0.648517135066941,Digital Buyers
9360,1982,Graduation,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,43,0,316,5013,40-49,0,1,-1.2689072567904864,-0.1648259244341241,Budget Shoppers
5376,1979,Graduation,Married,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,46,1,1730,4862,40-49,0,0,-1.4301379020251295,3.129917630426717,Premium Customers
1993,1949,PhD,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,76,1,972,4876,70+,1,0,0.4825338967129441,0.7789339889284129,Premium Customers
4047,1954,PhD,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,71,1,544,4492,70+,0,3,1.3351478570614705,0.6400875840857521,Dormant Customers
1409,1951,Graduation,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,74,1,444,4791,70+,0,0,-0.4553913527788773,3.036385533968845,Premium Customers
7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,56,0,75,4866,50-59,0,2,-2.1585071592980434,-0.17889067238359652,Digital Buyers
2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,49,2,257,4721,40-49,0,1,-0.7889793051328228,0.9649133740907194,Budget Shoppers
9422,1989,Graduation,Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,36,1,131,4717,30-39,0,1,-1.133873464945475,-1.2185705747393702,Budget Shoppers
1966,1965,PhD,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,60,0,1672,4542,50-59,1,3,3.1355815589395273,-0.7482752837936039,Dormant Customers
6864,1989,Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,36,0,30,4361,30-39,0,1,-2.2156644939952352,-0.6050494058097778,Budget Shoppers
3033,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,62,0,318,4737,60-69,0,2,-0.7598207037252867,-1.2965188255062403,Digital Buyers
5710,1970,Graduation,Together,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,55,1,120,4950,50-59,1,1,-1.1591465203045535,-0.5820658360447611,Budget Shoppers
7373,1952,PhD,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,73,2,302,4931,70+,1,0,-0.3630804390781861,1.7993225250669047,Premium Customers
8755,1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,79,0,1196,4817,70+,0,3,1.2649864904729298,0.04001028693875184,Dormant Customers
10738,1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,74,2,65,4627,70+,0,2,-1.1655984161631237,-0.4037518594898352,Digital Buyers
4339,1970,PhD,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,55,1,913,4503,50-59,0,3,2.057635651273994,0.7125571320337464,Dormant Customers
10755,1976,2n Cycle,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,49,1,81,4623,40-49,0,2,-2.157598310134663,0.22640171090897648,Digital Buyers
